"","Rk","Pk","Tm","Player","College","Yrs","G","TOTMP","TOTPTS","TOTTRB","TOTAST","FG%","3P%","FT%","WS","WS/48","BPM","VORP","DraftYr","MPG","PPG","RPG","APG","playerurl","DraftYear"
"24",24,24,"SAS","Dwayne Schintzius","Florida",8,217,1950,587,536,93,0.404,0.125,0.638,1,0.024,-5,-1.5,1990,9,2.7,2.5,0.4,"https://www.sports-reference.com/cbb/players/dwayne-schintzius-1.html",1990
"25",25,25,"POR","Alaa Abdelnaby","Duke",5,256,3200,1465,846,85,0.502,0,0.701,4.8,0.072,-3.8,-1.5,1990,12.5,5.7,3.3,0.3,"https://www.sports-reference.com/cbb/players/alaa-abdelnaby-1.html",1990
"26",26,26,"DET","Lance Blanks","Texas",3,142,1045,289,110,117,0.436,0.253,0.667,0.7,0.031,-3.2,-0.3,1990,7.4,2,0.8,0.8,"https://www.sports-reference.com/cbb/players/lance-blanks-1.html",1990
"27",27,27,"LAL","Elden Campbell","Clemson",15,1044,25776,10805,6116,1199,0.46,0.054,0.699,62.8,0.117,-0.5,9.5,1990,24.7,10.3,5.9,1.1,"https://www.sports-reference.com/cbb/players/elden-campbell-1.html",1990
"28",28,28,"GSW","Les Jepsen","Iowa",2,52,192,53,67,2,0.333,0,0.65,0.1,0.031,-8,-0.3,1990,3.7,1,1.3,0,"https://www.sports-reference.com/cbb/players/les-jepsen-1.html",1990
"29",29,29,"CHI","Toni Kukoč","",13,846,22212,9810,3555,3119,0.447,0.335,0.729,59.6,0.129,2.8,27.2,1990,26.3,11.6,4.2,3.7,NA,1990
"30",30,30,"MIA","Carl Herrera","Houston",8,465,8042,2481,1690,261,0.476,0.143,0.643,9,0.054,-3.7,-3.4,1990,17.3,5.3,3.6,0.6,"https://www.sports-reference.com/cbb/players/carl-herrera-1.html",1990
"31",31,31,"PHO","Negele Knight","Dayton",6,276,4513,1699,351,780,0.436,0.263,0.73,4.2,0.044,-3,-1.1,1990,16.4,6.2,1.3,2.8,"https://www.sports-reference.com/cbb/players/negele-knight-1.html",1990
"32",32,32,"PHI","Brian Oliver","Georgia Tech",4,118,1182,389,123,114,0.388,0.227,0.705,-0.5,-0.02,-5.9,-1.2,1990,10,3.3,1,1,"https://www.sports-reference.com/cbb/players/brian-oliver-1.html",1990
"33",33,33,"UTA","Walter Palmer","Dartmouth College",2,48,209,100,65,11,0.412,0,0.667,-0.1,-0.013,-6.7,-0.2,1990,4.4,2.1,1.4,0.2,"https://www.sports-reference.com/cbb/players/walter-palmer-1.html",1990
"34",34,34,"GSW","Kevin Pritchard","Kansas",4,94,1125,340,90,152,0.399,0.186,0.79,0.4,0.017,-4,-0.6,1990,12,3.6,1,1.6,"https://www.sports-reference.com/cbb/players/kevin-pritchard-1.html",1990
"35",35,35,"WAS","Greg Foster","Texas-El Paso",13,656,7974,2538,1691,351,0.44,0.225,0.748,5.6,0.033,-5.5,-7,1990,12.2,3.9,2.6,0.5,"https://www.sports-reference.com/cbb/players/greg-foster-1.html",1990
"36",36,36,"ATL","Trevor Wilson","UCLA",4,103,1609,591,353,99,0.456,0,0.567,0.8,0.023,-3.4,-0.6,1990,15.6,5.7,3.4,1,"https://www.sports-reference.com/cbb/players/trevor-wilson-1.html",1990
"37",37,37,"WAS","A.J. English","Virginia Union University",2,151,3108,1502,315,320,0.435,0.138,0.778,1.1,0.017,-3.9,-1.5,1990,20.6,9.9,2.1,2.1,"https://www.sports-reference.com/cbb/players/a.j.-english-1.html",1990
"38",38,38,"OKC","Jud Buechler","Arizona",12,720,8444,2385,1266,560,0.433,0.366,0.633,16.5,0.094,-0.1,4,1990,11.7,3.3,1.8,0.8,"https://www.sports-reference.com/cbb/players/jud-buechler-1.html",1990
"39",39,39,"CHA","Steve Scheffler","Purdue",7,174,918,331,180,26,0.558,0.2,0.759,2.9,0.153,-1.9,0,1990,5.3,1.9,1,0.1,"https://www.sports-reference.com/cbb/players/steve-scheffler-1.html",1990
"40",40,40,"SAC","Bimbo Coles","Virginia Tech",14,852,20319,6628,1820,3313,0.425,0.267,0.811,27.4,0.065,-1.6,1.9,1990,23.8,7.8,2.1,3.9,"https://www.sports-reference.com/cbb/players/bimbo-coles-1.html",1990
"41",41,41,"ATL","Steve Bardo","Illinois",3,33,299,73,60,44,0.329,0.1,0.696,-0.1,-0.02,-4,-0.2,1990,9.1,2.2,1.8,1.3,"https://www.sports-reference.com/cbb/players/steve-bardo-1.html",1990
"42",42,42,"DEN","Marcus Liberty","Illinois",4,267,4568,1942,925,244,0.417,0.34,0.664,4,0.042,-2.6,-0.7,1990,17.1,7.3,3.5,0.9,"https://www.sports-reference.com/cbb/players/marcus-liberty-1.html",1990
"43",43,43,"SAS","Tony Massenburg","Maryland",13,683,12291,4238,2964,266,0.47,0.091,0.705,15.6,0.061,-4.5,-7.8,1990,18,6.2,4.3,0.4,"https://www.sports-reference.com/cbb/players/tony-massenburg-1.html",1990
"44",44,44,"MIL","Steve Henson","Kansas State",7,238,2282,739,176,465,0.403,0.432,0.869,3.8,0.079,-1.8,0.1,1990,9.6,3.1,0.7,2,"https://www.sports-reference.com/cbb/players/steve-henson-1.html",1990
"45",45,45,"IND","Antonio Davis","Texas-El Paso",13,903,26084,9041,6755,1017,0.448,0.087,0.727,59.6,0.11,-1.3,4.4,1990,28.9,10,7.5,1.1,"https://www.sports-reference.com/cbb/players/antonio-davis-1.html",1990
"46",46,46,"IND","Kenny Williams","Elizabeth City State University",4,260,2918,1247,693,161,0.511,0,0.68,7.4,0.122,0.1,1.5,1990,11.2,4.8,2.7,0.6,"https://www.sports-reference.com/cbb/players/kenny-williams-1.html",1990
"47",47,47,"PHI","Derek Strong","Xavier",10,456,8548,3088,2213,291,0.43,0.18,0.786,18.5,0.104,-2.1,-0.3,1990,18.7,6.8,4.9,0.6,"https://www.sports-reference.com/cbb/players/derek-strong-1.html",1990
"48",48,48,"PHO","Cedric Ceballos","Cal State Fullerton",11,609,14712,8693,3258,723,0.5,0.309,0.753,40.4,0.132,0.7,10.1,1990,24.2,14.3,5.3,1.2,"https://www.sports-reference.com/cbb/players/cedric-ceballos-1.html",1990
"49",49,49,"DAL","Phil Henderson","Duke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/phil-henderson-1.html",1990
"50",50,50,"PHO","Miloš Babić","Tennessee Technological University",2,21,87,37,20,10,0.375,NA,0.65,-0.1,-0.028,-5.9,-0.1,1990,4.1,1.8,1,0.5,"https://www.sports-reference.com/cbb/players/miloš-babić-1.html",1990
"51",51,51,"LAL","Tony Smith","Marquette",9,457,7295,2504,735,881,0.431,0.307,0.69,6.7,0.044,-2,0,1990,16,5.5,1.6,1.9,"https://www.sports-reference.com/cbb/players/tony-smith-1.html",1990
"52",52,52,"CLE","Stefano Rusconi","",1,7,30,8,6,3,0.333,NA,0.4,-0.1,-0.104,-11.4,-0.1,1990,4.3,1.1,0.9,0.4,NA,1990
"53",53,53,"OKC","Abdul Shamsid-Deen","Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/abdul-shamsid-deen-1.html",1990
"54",54,54,"SAS","Sean Higgins","Michigan",6,220,3334,1375,402,226,0.428,0.321,0.85,0.4,0.006,-4.7,-2.3,1990,15.2,6.3,1.8,1,"https://www.sports-reference.com/cbb/players/sean-higgins-1.html",1990
"55",1,1,"CHA","Larry Johnson","UNLV",10,707,25685,11450,5300,2298,0.484,0.332,0.766,69.7,0.13,1.4,22,1991,36.3,16.2,7.5,3.3,"https://www.sports-reference.com/cbb/players/larry-johnson-1.html",1991
"56",2,2,"BRK","Kenny Anderson","Georgia Tech",14,858,25868,10789,2641,5196,0.421,0.346,0.79,62.5,0.116,1.4,21.9,1991,30.1,12.6,3.1,6.1,"https://www.sports-reference.com/cbb/players/kenny-anderson-1.html",1991
"57",3,3,"SAC","Billy Owens","Syracuse",10,600,17619,7026,4016,1704,0.481,0.291,0.629,28.6,0.078,-0.2,7.8,1991,29.4,11.7,6.7,2.8,"https://www.sports-reference.com/cbb/players/billy-owens-1.html",1991
"58",4,4,"DEN","Dikembe Mutombo","Georgetown",18,1196,36791,11729,12359,1240,0.518,0,0.684,117,0.153,1.7,33.9,1991,30.8,9.8,10.3,1,"https://www.sports-reference.com/cbb/players/dikembe-mutombo-1.html",1991
"59",5,5,"MIA","Steve Smith","Michigan State",14,942,28855,13430,3060,2922,0.44,0.358,0.845,83.7,0.139,1.4,24.6,1991,30.6,14.3,3.2,3.1,"https://www.sports-reference.com/cbb/players/steve-smith-1.html",1991
"60",6,6,"DAL","Doug Smith","Missouri",5,296,5833,2356,1234,400,0.425,0.083,0.773,3,0.024,-3.6,-2.4,1991,19.7,8,4.2,1.4,"https://www.sports-reference.com/cbb/players/doug-smith-1.html",1991
"61",7,7,"MIN","Luc Longley","New Mexico",10,567,12006,4090,2794,836,0.462,0,0.76,17.5,0.07,-2.6,-1.9,1991,21.2,7.2,4.9,1.5,"https://www.sports-reference.com/cbb/players/luc-longley-1.html",1991
"62",8,8,"DEN","Mark Macon","Temple",6,251,5018,1685,467,428,0.384,0.27,0.735,0.1,0.001,-3.7,-2.2,1991,20,6.7,1.9,1.7,"https://www.sports-reference.com/cbb/players/mark-macon-1.html",1991
"63",9,9,"ATL","Stacey Augmon","UNLV",15,1001,21658,7990,3216,1561,0.469,0.152,0.728,43.8,0.097,-0.2,9.8,1991,21.6,8,3.2,1.6,"https://www.sports-reference.com/cbb/players/stacey-augmon-1.html",1991
"64",10,10,"ORL","Bison Dele","Arizona",8,413,10004,4536,2564,440,0.528,0.143,0.691,22.8,0.109,-0.6,3.4,1991,24.2,11,6.2,1.1,"https://www.sports-reference.com/cbb/players/bison-dele-1.html",1991
"65",11,11,"CLE","Terrell Brandon","Oregon",11,724,21545,9994,2174,4407,0.448,0.355,0.873,65.9,0.147,3.6,30.3,1991,29.8,13.8,3,6.1,"https://www.sports-reference.com/cbb/players/terrell-brandon-1.html",1991
"66",12,12,"NYK","Greg Anthony","UNLV",11,757,15850,5497,1417,2997,0.403,0.349,0.733,35.9,0.109,1.3,13.3,1991,20.9,7.3,1.9,4,"https://www.sports-reference.com/cbb/players/greg-anthony-1.html",1991
"67",13,13,"IND","Dale Davis","Clemson",16,1094,29606,8706,8605,978,0.53,0,0.562,86.9,0.141,0.5,18.4,1991,27.1,8,7.9,0.9,"https://www.sports-reference.com/cbb/players/dale-davis-1.html",1991
"68",14,14,"OKC","Rich King","Nebraska",4,72,309,135,74,21,0.393,0,0.662,0.2,0.036,-6.9,-0.4,1991,4.3,1.9,1,0.3,"https://www.sports-reference.com/cbb/players/rich-king-1.html",1991
"69",15,15,"ATL","Anthony Avent","Seton Hall",6,352,6729,1958,1584,278,0.403,0,0.686,0.3,0.002,-5.7,-6.4,1991,19.1,5.6,4.5,0.8,"https://www.sports-reference.com/cbb/players/anthony-avent-1.html",1991
"70",16,16,"GSW","Chris Gatling","Old Dominion",11,700,13760,7232,3741,461,0.513,0.249,0.66,32.1,0.112,-1.1,3.2,1991,19.7,10.3,5.3,0.7,"https://www.sports-reference.com/cbb/players/chris-gatling-1.html",1991
"71",17,17,"GSW","Victor Alexander","Iowa State",5,286,5755,2542,1384,257,0.518,0.286,0.634,8.8,0.073,-2.2,-0.3,1991,20.1,8.9,4.8,0.9,"https://www.sports-reference.com/cbb/players/victor-alexander-1.html",1991
"72",18,18,"MIL","Kevin Brooks","Louisiana",3,126,1031,417,141,48,0.401,0.2,0.859,-0.1,-0.004,-5.9,-1,1991,8.2,3.3,1.1,0.4,"https://www.sports-reference.com/cbb/players/kevin-brooks-1.html",1991
"73",19,19,"WAS","LaBradford Smith","Louisville",3,183,3131,1218,271,394,0.432,0.298,0.813,1.5,0.024,-3.6,-1.2,1991,17.1,6.7,1.5,2.2,"https://www.sports-reference.com/cbb/players/labradford-smith-1.html",1991
"74",20,20,"HOU","John Turner","Phillips University",1,42,345,117,78,12,0.439,NA,0.525,-0.1,-0.021,-7.9,-0.5,1991,8.2,2.8,1.9,0.3,"https://www.sports-reference.com/cbb/players/john-turner-1.html",1991
"75",21,21,"UTA","Eric Murdock","Providence",9,508,11882,5118,1261,2467,0.438,0.343,0.786,25.6,0.103,2,12.1,1991,23.4,10.1,2.5,4.9,"https://www.sports-reference.com/cbb/players/eric-murdock-1.html",1991
"76",22,22,"LAC","LeRon Ellis","Syracuse",3,91,857,277,220,29,0.433,NA,0.613,1.2,0.069,-3.5,-0.3,1991,9.4,3,2.4,0.3,"https://www.sports-reference.com/cbb/players/leron-ellis-1.html",1991
"77",23,23,"ORL","Stanley Roberts","LSU",8,300,5869,2555,1549,189,0.499,0,0.514,8.1,0.066,-3.4,-2,1991,19.6,8.5,5.2,0.6,"https://www.sports-reference.com/cbb/players/stanley-roberts-1.html",1991
"78",24,24,"BOS","Rick Fox","UNC",13,930,23723,8966,3517,2649,0.45,0.349,0.77,44.7,0.09,0,11.7,1991,25.5,9.6,3.8,2.8,"https://www.sports-reference.com/cbb/players/rick-fox-1.html",1991
"79",25,25,"GSW","Shaun Vandiver","Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/shaun-vandiver-1.html",1991
"80",26,26,"CHI","Mark Randall","Kansas",4,127,883,332,160,56,0.443,0.154,0.722,1,0.054,-3.3,-0.3,1991,7,2.6,1.3,0.4,"https://www.sports-reference.com/cbb/players/mark-randall-1.html",1991
"81",27,27,"SAC","Pete Chilcutt","UNC",9,584,8394,2494,1935,488,0.441,0.381,0.696,10.6,0.06,-1.8,0.3,1991,14.4,4.3,3.3,0.8,"https://www.sports-reference.com/cbb/players/pete-chilcutt-1.html",1991
"82",28,28,"CHA","Kevin Lynch","Minnesota",2,95,1143,310,120,108,0.436,0.333,0.726,0.4,0.016,-4.4,-0.7,1991,12,3.3,1.3,1.1,"https://www.sports-reference.com/cbb/players/kevin-lynch-1.html",1991
"83",29,29,"MIA","George Ackles","UNLV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/george-ackles-1.html",1991
"84",30,30,"ATL","Rodney Monroe","NC State",1,38,313,131,33,27,0.368,0.222,0.826,-0.2,-0.035,-5.3,-0.3,1991,8.2,3.4,0.9,0.7,"https://www.sports-reference.com/cbb/players/rodney-monroe-1.html",1991
"85",31,31,"SAC","Randy Brown","New Mexico State",12,655,11533,3148,1173,1420,0.417,0.2,0.691,11,0.046,-1.9,0.2,1991,17.6,4.8,1.8,2.2,"https://www.sports-reference.com/cbb/players/randy-brown-1.html",1991
"86",32,32,"PHO","Chad Gallagher","Creighton",1,2,3,6,0,0,1,NA,NA,0.1,1.442,30.1,0,1991,1.5,3,0,0,"https://www.sports-reference.com/cbb/players/chad-gallagher-1.html",1991
"87",33,33,"DAL","Donald Hodge","Temple",5,249,3501,1182,809,191,0.437,0.286,0.711,1.8,0.025,-4.2,-1.9,1991,14.1,4.7,3.2,0.8,"https://www.sports-reference.com/cbb/players/donald-hodge-1.html",1991
"88",34,34,"MIN","Myron Brown","Slippery Rock University of Pennsylvania",1,4,23,9,3,6,0.667,0.333,NA,0,0.032,-1.8,0,1991,5.8,2.3,0.8,1.5,"https://www.sports-reference.com/cbb/players/myron-brown-1.html",1991
"89",35,35,"DAL","Mike Iuzzolino","Saint Francis University",2,122,3049,1096,238,522,0.457,0.404,0.798,3.7,0.058,-1.9,0.1,1991,25,9,2,4.3,"https://www.sports-reference.com/cbb/players/mike-iuzzolino-1.html",1991
"90",36,36,"ORL","Chris Corchiani","NC State",3,112,1313,416,129,243,0.421,0.269,0.816,1.6,0.058,-1.8,0.1,1991,11.7,3.7,1.2,2.2,"https://www.sports-reference.com/cbb/players/chris-corchiani-1.html",1991
"91",37,37,"LAC","Elliot Perry","Memphis",10,549,9501,3449,742,1699,0.459,0.359,0.783,14,0.071,-0.5,3.6,1991,17.3,6.3,1.4,3.1,"https://www.sports-reference.com/cbb/players/elliot-perry-1.html",1991
"92",38,38,"LAC","Joe Wylie","Miami (FL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/joe-wylie-1.html",1991
"93",39,39,"CLE","Jimmy Oliver","Purdue",5,78,856,331,80,55,0.407,0.34,0.772,0.3,0.018,-4.7,-0.6,1991,11,4.2,1,0.7,"https://www.sports-reference.com/cbb/players/jimmy-oliver-1.html",1991
"94",40,40,"DET","Doug Overton","La Salle",11,499,7275,2253,654,1038,0.412,0.319,0.816,2.5,0.016,-3.9,-3.5,1991,14.6,4.5,1.3,2.1,"https://www.sports-reference.com/cbb/players/doug-overton-1.html",1991
"95",41,41,"IND","Sean Green","Iona College",3,84,671,352,85,45,0.386,0.246,0.62,-1.3,-0.095,-7,-0.8,1991,8,4.2,1,0.5,"https://www.sports-reference.com/cbb/players/sean-green-1.html",1991
"96",42,42,"SAC","Steve Hood","James Madison University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/steve-hood-1.html",1991
"97",43,43,"GSW","Lamont Strothers","Christopher Newport University",2,13,155,60,15,14,0.329,0.133,0.714,-0.5,-0.142,-7.7,-0.2,1991,11.9,4.6,1.2,1.1,"https://www.sports-reference.com/cbb/players/lamont-strothers-1.html",1991
"98",44,44,"PHI","Alvaro Teheran","Houston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/alvaro-teheran-1.html",1991
"99",45,45,"MIL","Bobby Phills","Southern University and A&M College",9,467,13426,5153,1469,1246,0.443,0.39,0.738,27.2,0.097,0.2,7.5,1991,28.7,11,3.1,2.7,"https://www.sports-reference.com/cbb/players/bobby-phills-1.html",1991
"100",46,46,"PHO","Richard Dumas","Oklahoma State",3,102,2226,1080,351,111,0.509,0.231,0.694,4.5,0.097,-0.2,1,1991,21.8,10.6,3.4,1.1,"https://www.sports-reference.com/cbb/players/richard-dumas-1.html",1991
"101",47,47,"HOU","Keith Hughes","Rutgers University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/keith-hughes-1.html",1991
"102",48,48,"UTA","Isaac Austin","Arizona State",9,432,8350,3285,2030,538,0.446,0.176,0.67,9.2,0.053,-2.5,-1,1991,19.3,7.6,4.7,1.2,"https://www.sports-reference.com/cbb/players/isaac-austin-1.html",1991
"103",49,49,"SAS","Greg Sutton","Oral Roberts",3,168,1946,761,153,284,0.396,0.361,0.743,1,0.024,-3.6,-0.8,1991,11.6,4.5,0.9,1.7,"https://www.sports-reference.com/cbb/players/greg-sutton-1.html",1991
"104",50,50,"PHO","Joey Wright","Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/joey-wright-1.html",1991
"105",51,51,"HOU","Žan Tabak","",6,247,3607,1233,883,165,0.506,0,0.525,2.4,0.032,-4.9,-2.7,1991,14.6,5,3.6,0.7,NA,1991
"106",52,52,"LAL","Anthony Jones","Oral Roberts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/anthony-jones-1.html",1991
"107",53,53,"BRK","Von McDade","UW-Milwaukee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/von-mcdade-1.html",1991
"108",54,54,"POR","Marcus Kennedy","Eastern Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/marcus-kennedy-1.html",1991
"109",1,1,"ORL","Shaquille O'Neal","LSU",19,1207,41918,28596,13099,3026,0.582,0.045,0.527,181.7,0.208,5.1,75.5,1992,34.7,23.7,10.9,2.5,"https://www.sports-reference.com/cbb/players/shaquille-o'neal-1.html",1992
"110",2,2,"CHA","Alonzo Mourning","Georgetown",15,838,25975,14311,7137,946,0.527,0.247,0.692,89.7,0.166,2.2,27.4,1992,31,17.1,8.5,1.1,"https://www.sports-reference.com/cbb/players/alonzo-mourning-1.html",1992
"111",3,3,"MIN","Christian Laettner","Duke",13,868,25760,11121,5806,2224,0.48,0.261,0.82,64.9,0.121,1,19.5,1992,29.7,12.8,6.7,2.6,"https://www.sports-reference.com/cbb/players/christian-laettner-1.html",1992
"112",4,4,"DAL","Jim Jackson","Ohio State",14,885,29067,12690,4152,2851,0.428,0.365,0.825,35.8,0.059,-0.9,8.2,1992,32.8,14.3,4.7,3.2,"https://www.sports-reference.com/cbb/players/jim-jackson-1.html",1992
"113",5,5,"DEN","LaPhonso Ellis","Notre Dame",11,624,17616,7410,4032,981,0.452,0.302,0.73,32.8,0.089,-1,4.6,1992,28.2,11.9,6.5,1.6,"https://www.sports-reference.com/cbb/players/laphonso-ellis-1.html",1992
"114",6,6,"WAS","Tom Gugliotta","NC State",13,763,23556,9895,5589,2140,0.451,0.284,0.757,40.2,0.082,0.6,15.3,1992,30.9,13,7.3,2.8,"https://www.sports-reference.com/cbb/players/tom-gugliotta-1.html",1992
"115",7,7,"SAC","Walt Williams","Maryland",11,708,18818,8385,2794,1637,0.425,0.379,0.743,33.9,0.087,0.5,11.8,1992,26.6,11.8,3.9,2.3,"https://www.sports-reference.com/cbb/players/walt-williams-1.html",1992
